## test 13

chr-A	pos-A	direction-A	chr-B	pos-B	direction-B	filter-status	score	soft+hardclips	n-split-reads	n-discordant-reads	n-edges	n-nodes-A	n-nodes-B	entropy-bp-edge	entropy-all-edges	data-structure
chr21	39956869	-	chr21	42883789	+	valid	358	267	116	23	21	12	9	0.893804400488	0.944595484075	chr21:39956869/39956870(-)->chr21:42883789/42883790(+):(discordant_mates:9,spanning_paired_1:29,spanning_paired_2_t:5,spanning_singleton_2_r:1)&chr21:39956869/39956870(-)->chr21:42870045/42870046(+):(discordant_mates:2,spanning_paired_1:28,spanning_singleton_1:1,spanning_singleton_2_r:1)&chr21:40064721/40064722(-)->chr21:42870045/42870046(+):(spanning_paired_1:7,spanning_paired_2_t:2,spanning_singleton_2_r:4)&chr21:39966567/39966568(-)->chr21:42870045/42870046(+):(discordant_mates:1,spanning_paired_1:6)&chr21:39956869/39956870(-)->chr21:42880007/42880008(+):(spanning_paired_1:4,spanning_singleton_1:2,spanning_singleton_2_r:1)&chr21:39966567/39966568(-)->chr21:42883789/42883790(+):(spanning_paired_1:3,spanning_paired_2_t:2,spanning_singleton_1:1)&chr21:40064721/40064722(-)->chr21:42883789/42883790(+):(spanning_paired_1:2,spanning_paired_2_t:3)&chr21:39956869/39956870(-)->chr21:42879876/42879877(+):(discordant_mates:1,spanning_paired_1:2,spanning_singleton_2_r:1)&chr21:39817544/39817545(-)->chr21:42870045/42870046(+):(discordant_mates:2,spanning_paired_1:2)&chr21:39969017/39969018(-)->chr21:42883789/42883790(+):(spanning_paired_2_t:2)&chr21:40067718/40067719(-)->chr21:42870045/42870046(+):(spanning_paired_1:2)&chr21:40067718/40067719(-)->chr21:42880007/42880008(+):(spanning_paired_1:2)&chr21:39966567/39966568(-)->chr21:42879876/42879877(+):(discordant_mates:1,spanning_paired_2_t:1)&chr21:39956869/39956870(-)->chr21:42869862/42869863(+):(discordant_mates:1,spanning_singleton_2_r:1)&chr21:40064721/40064722(-)->chr21:42880007/42880008(+):(spanning_paired_1:1)&chr21:39817426/39817427(-)->chr21:42879909/42879910(+):(discordant_mates:1)&chr21:39817450/39817451(-)->chr21:42879874/42879875(+):(discordant_mates:1)&chr21:39817495/39817496(-)->chr21:42870043/42870044(+):(discordant_mates:1)&chr21:39817510/39817511(-)->chr21:42883787/42883788(+):(discordant_mates:1)&chr21:39956871/39956872(-)->chr21:42883787/42883788(+):(discordant_mates:1)&chr21:39966531/39966532(-)->chr21:42883787/42883788(+):(discordant_mates:1)
chr21	40104140	-	chr21	42867900	+	n_discordant_reads=3/4	83	54	27	3	2	2	2	0.945654654109	0.94790991314	chr21:40104140/40104141(-)->chr21:42867900/42867901(+):(discordant_mates:2,spanning_paired_1:1,spanning_paired_2_t:25,spanning_singleton_2_r:1)&chr21:40104142/40104143(-)->chr21:42868014/42868015(+):(discordant_mates:1)
chr21	40073871	-	chr21	42883789	+	n_discordant_reads=3/4	59	162	19	3	3	1	3	0.958424899319	0.979614197798	chr21:40073871/40073872(-)->chr21:42883789/42883790(+):(discordant_mates:3,spanning_paired_1:5,spanning_paired_2_t:5)&chr21:40073871/40073872(-)->chr21:42870045/42870046(+):(spanning_paired_1:5,spanning_singleton_2_r:1)&chr21:40073871/40073872(-)->chr21:42880007/42880008(+):(spanning_paired_1:3)
chr21	40056045	-	chr21	42870045	+	n_discordant_reads=3/6,n_support=11/24	27	151	8	3	4	2	4	1.0	0.947442758851	chr21:40056045/40056046(-)->chr21:42870045/42870046(+):(discordant_mates:1,spanning_paired_1:5)&chr21:40056045/40056046(-)->chr21:42883789/42883790(+):(discordant_mates:1,spanning_paired_1:2)&chr21:40056045/40056046(-)->chr21:42880007/42880008(+):(spanning_paired_1:1)&chr21:40055887/40055888(-)->chr21:42878380/42878381(+):(discordant_mates:1)




_1_t specific?? it looks like they were annotatated as _paired_1_t and _2_t in the opposite order? << glitchy data, remove from alignment
chr21	39956767	+	chr21	42870116	-	n_discordant_reads=0/2,n_support=4/8	12	8	4	0	1	1	1	1.0	1.0	chr21:39956767/39956768(+)->chr21:42870116/42870117(-):(spanning_paired_1_t:4)
